"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player_Href","Min","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes"
"La Liga","2023-08-11","La Liga (Matchweek 1)","Almería","4-2-3-1",0,1.4,"",1,0,"Rayo Vallecano","4-2-3-1",2,2.1,"Isaac Palazón Camacho (P) · 20&rsquor; Randy Nteka (P) · 28&rsquor;",3,0,"https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga","Almería","Home",NA,990,532,473,58,26,1,8,26,19,8,2,5,0,448,1,5
"La Liga","2023-08-11","La Liga (Matchweek 1)","Almería","4-2-3-1",0,1.4,"",1,0,"Rayo Vallecano","4-2-3-1",2,2.1,"Isaac Palazón Camacho (P) · 20&rsquor; Randy Nteka (P) · 28&rsquor;",3,0,"https://fbref.com/en/matches/30d3212e/Almeria-Rayo-Vallecano-August-11-2023-La-Liga","Rayo Vallecano","Away",NA,990,354,312,41,14,0,8,8,14,3,1,1,0,268,1,5
"La Liga","2023-08-11","La Liga (Matchweek 1)","Sevilla","4-2-3-1",1,0.7,"Youssef En-Nesyri · 69&rsquor; Loïc Bade · 81&rsquor;",3,1,"Valencia","4-4-2",2,1.1,"Mouctar Diakhaby · 60&rsquor; Javier Guerra · 88&rsquor;",2,0,"https://fbref.com/en/matches/525758cc/Sevilla-Valencia-August-11-2023-La-Liga","Sevilla","Home",NA,980,474,400,71,17,0,5,34,36,8,1,4,0,339,3,15
"La Liga","2023-08-11","La Liga (Matchweek 1)","Sevilla","4-2-3-1",1,0.7,"Youssef En-Nesyri · 69&rsquor; Loïc Bade · 81&rsquor;",3,1,"Valencia","4-4-2",2,1.1,"Mouctar Diakhaby · 60&rsquor; Javier Guerra · 88&rsquor;",2,0,"https://fbref.com/en/matches/525758cc/Sevilla-Valencia-August-11-2023-La-Liga","Valencia","Away",NA,990,385,329,56,17,3,2,11,28,1,0,0,0,275,0,11
"La Liga","2023-08-12","La Liga (Matchweek 1)","Real Sociedad","4-3-3",1,1,"Takefusa Kubo · 5&rsquor;",2,0,"Girona","4-1-4-1",1,0.8,"Artem Dovbyk · 72&rsquor;",5,0,"https://fbref.com/en/matches/706596c6/Real-Sociedad-Girona-August-12-2023-La-Liga","Real Sociedad","Home",NA,990,415,372,43,11,1,1,10,22,4,3,1,0,331,0,9
"La Liga","2023-08-12","La Liga (Matchweek 1)","Real Sociedad","4-3-3",1,1,"Takefusa Kubo · 5&rsquor;",2,0,"Girona","4-1-4-1",1,0.8,"Artem Dovbyk · 72&rsquor;",5,0,"https://fbref.com/en/matches/706596c6/Real-Sociedad-Girona-August-12-2023-La-Liga","Girona","Away",NA,990,458,391,64,22,1,4,14,23,1,0,0,0,369,3,5
"La Liga","2023-08-12","La Liga (Matchweek 1)","Las Palmas","4-5-1",1,0.9,"Jonathan Viera (P) · 29&rsquor;",3,0,"Mallorca","5-3-2",1,1.6,"Antonio Raillo · 70&rsquor;",2,0,"https://fbref.com/en/matches/8c6555db/Las-Palmas-Mallorca-August-12-2023-La-Liga","Las Palmas","Home",NA,990,636,571,64,27,1,1,5,24,3,0,0,0,542,1,6
"La Liga","2023-08-12","La Liga (Matchweek 1)","Las Palmas","4-5-1",1,0.9,"Jonathan Viera (P) · 29&rsquor;",3,0,"Mallorca","5-3-2",1,1.6,"Antonio Raillo · 70&rsquor;",2,0,"https://fbref.com/en/matches/8c6555db/Las-Palmas-Mallorca-August-12-2023-La-Liga","Mallorca","Away",NA,990,302,254,42,11,3,1,17,22,6,3,2,0,202,6,4
"La Liga","2023-08-12","La Liga (Matchweek 1)","Athletic Club","4-2-3-1",0,0.4,"",3,0,"Real Madrid","4-1-2-1-2",2,0.9,"Rodrygo · 28&rsquor; Jude Bellingham · 36&rsquor;",1,0,"https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga","Athletic Club","Home",NA,990,552,502,48,8,0,3,30,23,7,3,3,0,453,2,10
"La Liga","2023-08-12","La Liga (Matchweek 1)","Athletic Club","4-2-3-1",0,0.4,"",3,0,"Real Madrid","4-1-2-1-2",2,0.9,"Rodrygo · 28&rsquor; Jude Bellingham · 36&rsquor;",1,0,"https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga","Real Madrid","Away",NA,990,639,585,52,19,5,6,9,15,5,2,2,0,556,2,6
"La Liga","2023-08-13","La Liga (Matchweek 1)","Celta Vigo","4-4-2",0,1,"",1,0,"Osasuna","4-3-3",2,1,"Rubén García · 24&rsquor; Moi Gómez · 74&rsquor;",1,0,"https://fbref.com/en/matches/8689fb39/Celta-Vigo-Osasuna-August-13-2023-La-Liga","Celta Vigo","Home",NA,990,531,459,66,16,2,4,22,30,7,3,1,0,414,6,13
"La Liga","2023-08-13","La Liga (Matchweek 1)","Celta Vigo","4-4-2",0,1,"",1,0,"Osasuna","4-3-3",2,1,"Rubén García · 24&rsquor; Moi Gómez · 74&rsquor;",1,0,"https://fbref.com/en/matches/8689fb39/Celta-Vigo-Osasuna-August-13-2023-La-Liga","Osasuna","Away",NA,990,468,416,51,16,0,4,15,19,2,0,2,0,344,1,15
"La Liga","2023-08-13","La Liga (Matchweek 1)","Villarreal","4-3-3",1,0.9,"Jorge Cuenca · 61&rsquor;",1,0,"Real Betis","4-2-3-1",2,1.1,"Ayoze Pérez · 20&rsquor; Willian José · 90+5&rsquor;",3,0,"https://fbref.com/en/matches/b8258a85/Villarreal-Real-Betis-August-13-2023-La-Liga","Villarreal","Home",NA,990,604,547,55,18,1,2,19,21,9,2,6,0,511,2,13
"La Liga","2023-08-13","La Liga (Matchweek 1)","Villarreal","4-3-3",1,0.9,"Jorge Cuenca · 61&rsquor;",1,0,"Real Betis","4-2-3-1",2,1.1,"Ayoze Pérez · 20&rsquor; Willian José · 90+5&rsquor;",3,0,"https://fbref.com/en/matches/b8258a85/Villarreal-Real-Betis-August-13-2023-La-Liga","Real Betis","Away",NA,990,350,309,40,14,1,2,14,14,4,1,2,0,273,1,6
"La Liga","2023-08-13","La Liga (Matchweek 1)","Getafe","4-5-1",0,0.6,"Jaime Mata · 57&rsquor;",9,1,"Barcelona","4-2-3-1",0,1.4,"Raphinha · 42&rsquor; Xavi · 70&rsquor;",2,2,"https://fbref.com/en/matches/b34ff242/Getafe-Barcelona-August-13-2023-La-Liga","Getafe","Home",NA,956,271,222,45,13,1,4,17,14,3,1,2,0,186,4,6
"La Liga","2023-08-13","La Liga (Matchweek 1)","Getafe","4-5-1",0,0.6,"Jaime Mata · 57&rsquor;",9,1,"Barcelona","4-2-3-1",0,1.4,"Raphinha · 42&rsquor; Xavi · 70&rsquor;",2,2,"https://fbref.com/en/matches/b34ff242/Getafe-Barcelona-August-13-2023-La-Liga","Barcelona","Away",NA,941,767,712,53,23,5,5,17,17,4,3,0,0,680,2,2
"La Liga","2023-08-14","La Liga (Matchweek 1)","Cádiz","4-4-2",1,0.7,"Fede San Emeterio · 7&rsquor; Gonzalo Escalante · 88&rsquor;",3,1,"Alavés","5-4-1",0,0.3,"",2,0,"https://fbref.com/en/matches/c36e6859/Cadiz-Alaves-August-14-2023-La-Liga","Cádiz","Home",NA,987,337,288,47,16,1,1,12,22,2,0,1,0,226,2,2
"La Liga","2023-08-14","La Liga (Matchweek 1)","Cádiz","4-4-2",1,0.7,"Fede San Emeterio · 7&rsquor; Gonzalo Escalante · 88&rsquor;",3,1,"Alavés","5-4-1",0,0.3,"",2,0,"https://fbref.com/en/matches/c36e6859/Cadiz-Alaves-August-14-2023-La-Liga","Alavés","Away",NA,990,417,359,56,21,0,5,24,22,4,0,1,0,302,2,9
"La Liga","2023-08-14","La Liga (Matchweek 1)","Atlético Madrid","3-5-2",3,2.4,"Álvaro Morata · 45+4&rsquor; Memphis · 67&rsquor; Marcos Llorente · 90+8&rsquor;",3,0,"Granada","5-3-2",1,0.9,"Samu Omorodion · 62&rsquor;",1,0,"https://fbref.com/en/matches/a96e4e26/Atletico-Madrid-Granada-August-14-2023-La-Liga","Atlético Madrid","Home",NA,990,479,432,44,9,2,7,18,27,3,2,0,0,386,3,10
"La Liga","2023-08-14","La Liga (Matchweek 1)","Atlético Madrid","3-5-2",3,2.4,"Álvaro Morata · 45+4&rsquor; Memphis · 67&rsquor; Marcos Llorente · 90+8&rsquor;",3,0,"Granada","5-3-2",1,0.9,"Samu Omorodion · 62&rsquor;",1,0,"https://fbref.com/en/matches/a96e4e26/Atletico-Madrid-Granada-August-14-2023-La-Liga","Granada","Away",NA,990,561,507,54,17,0,5,12,18,3,2,0,0,458,0,11
"La Liga","2023-08-18","La Liga (Matchweek 2)","Mallorca","5-3-2",0,0.4,"",2,0,"Villarreal","4-3-3",1,1.8,"Gerard Moreno · 62&rsquor;",4,0,"https://fbref.com/en/matches/d447f323/Mallorca-Villarreal-August-18-2023-La-Liga","Mallorca","Home",NA,990,370,325,39,12,0,6,28,11,6,2,3,0,288,6,7
"La Liga","2023-08-18","La Liga (Matchweek 2)","Mallorca","5-3-2",0,0.4,"",2,0,"Villarreal","4-3-3",1,1.8,"Gerard Moreno · 62&rsquor;",4,0,"https://fbref.com/en/matches/d447f323/Mallorca-Villarreal-August-18-2023-La-Liga","Villarreal","Away",NA,990,554,506,47,18,2,3,15,18,5,3,0,0,486,1,4
"La Liga","2023-08-18","La Liga (Matchweek 2)","Valencia","4-4-2",1,1.5,"José Luis García Vayá (P) · 74&rsquor;",0,0,"Las Palmas","4-3-3",0,0.5,"",0,0,"https://fbref.com/en/matches/8766ab05/Valencia-Las-Palmas-August-18-2023-La-Liga","Valencia","Home",NA,990,411,367,42,6,2,10,20,24,6,2,3,0,317,2,5
"La Liga","2023-08-18","La Liga (Matchweek 2)","Valencia","4-4-2",1,1.5,"José Luis García Vayá (P) · 74&rsquor;",0,0,"Las Palmas","4-3-3",0,0.5,"",0,0,"https://fbref.com/en/matches/8766ab05/Valencia-Las-Palmas-August-18-2023-La-Liga","Las Palmas","Away",NA,990,641,589,51,13,1,2,9,24,4,1,1,0,549,1,8
"La Liga","2023-08-19","La Liga (Matchweek 2)","Real Sociedad","4-3-3",1,0.7,"Ander Barrenetxea · 22&rsquor;",2,0,"Celta Vigo","4-4-2",1,1,"Óscar Mingueza · 90+4&rsquor;",1,0,"https://fbref.com/en/matches/406ca8c9/Real-Sociedad-Celta-Vigo-August-19-2023-La-Liga","Real Sociedad","Home",NA,990,468,406,62,14,1,7,18,32,9,4,2,0,341,0,6
"La Liga","2023-08-19","La Liga (Matchweek 2)","Real Sociedad","4-3-3",1,0.7,"Ander Barrenetxea · 22&rsquor;",2,0,"Celta Vigo","4-4-2",1,1,"Óscar Mingueza · 90+4&rsquor;",1,0,"https://fbref.com/en/matches/406ca8c9/Real-Sociedad-Celta-Vigo-August-19-2023-La-Liga","Celta Vigo","Away",NA,990,421,368,50,11,1,1,19,20,7,0,5,0,300,3,10
"La Liga","2023-08-19","La Liga (Matchweek 2)","Almería","4-2-3-1",1,1.3,"Sergio Arribas · 3&rsquor;",1,0,"Real Madrid","4-3-1-2",3,2,"Jude Bellingham · 19&rsquor; Jude Bellingham · 60&rsquor; Vinicius Júnior · 73&rsquor;",0,0,"https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga","Almería","Home",NA,990,471,422,48,17,1,4,26,10,4,0,2,0,394,1,4
"La Liga","2023-08-19","La Liga (Matchweek 2)","Almería","4-2-3-1",1,1.3,"Sergio Arribas · 3&rsquor;",1,0,"Real Madrid","4-3-1-2",3,2,"Jude Bellingham · 19&rsquor; Jude Bellingham · 60&rsquor; Vinicius Júnior · 73&rsquor;",0,0,"https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga","Real Madrid","Away",NA,990,622,572,46,10,1,5,26,19,5,0,5,0,548,4,7
"La Liga","2023-08-19","La Liga (Matchweek 2)","Osasuna","4-3-3",0,1.3,"Ezequiel Ávila · 90+4&rsquor;",1,1,"Athletic Club","4-2-3-1",2,1.5,"Iñaki Williams · 11&rsquor; Gorka Guruzeta · 20&rsquor; Oihan Sancet · 59&rsquor;",6,1,"https://fbref.com/en/matches/0df06b3f/Osasuna-Athletic-Club-August-19-2023-La-Liga","Osasuna","Home",NA,989,608,551,55,12,1,10,39,28,5,4,1,0,474,2,8
"La Liga","2023-08-19","La Liga (Matchweek 2)","Osasuna","4-3-3",0,1.3,"Ezequiel Ávila · 90+4&rsquor;",1,1,"Athletic Club","4-2-3-1",2,1.5,"Iñaki Williams · 11&rsquor; Gorka Guruzeta · 20&rsquor; Oihan Sancet · 59&rsquor;",6,1,"https://fbref.com/en/matches/0df06b3f/Osasuna-Athletic-Club-August-19-2023-La-Liga","Athletic Club","Away",NA,958,361,323,38,10,0,4,13,13,3,0,2,0,249,0,8
"La Liga","2023-08-20","La Liga (Matchweek 2)","Girona","4-1-4-1",3,1.4,"Yangel Herrera · 12&rsquor; Cristhian Stuani · 55&rsquor; Cristhian Stuani · 65&rsquor;",2,0,"Getafe","4-2-3-1",0,0.7,"",6,0,"https://fbref.com/en/matches/e8867e6b/Girona-Getafe-August-20-2023-La-Liga","Girona","Home",NA,990,558,509,46,21,1,5,11,11,3,2,1,0,472,3,3
"La Liga","2023-08-20","La Liga (Matchweek 2)","Girona","4-1-4-1",3,1.4,"Yangel Herrera · 12&rsquor; Cristhian Stuani · 55&rsquor; Cristhian Stuani · 65&rsquor;",2,0,"Getafe","4-2-3-1",0,0.7,"",6,0,"https://fbref.com/en/matches/e8867e6b/Girona-Getafe-August-20-2023-La-Liga","Getafe","Away",NA,990,321,273,46,13,1,5,21,23,2,1,1,0,209,2,9
"La Liga","2023-08-20","La Liga (Matchweek 2)","Barcelona","3-4-3",2,3.4,"Pedri · 82&rsquor; Ferrán Torres · 90+4&rsquor;",4,0,"Cádiz","4-4-2",0,1.1,"",3,0,"https://fbref.com/en/matches/312852e3/Barcelona-Cadiz-August-20-2023-La-Liga","Barcelona","Home",NA,990,659,605,53,21,5,2,29,14,10,3,4,0,585,1,4
"La Liga","2023-08-20","La Liga (Matchweek 2)","Barcelona","3-4-3",2,3.4,"Pedri · 82&rsquor; Ferrán Torres · 90+4&rsquor;",4,0,"Cádiz","4-4-2",0,1.1,"",3,0,"https://fbref.com/en/matches/312852e3/Barcelona-Cadiz-August-20-2023-La-Liga","Cádiz","Away",NA,990,229,188,40,10,0,4,15,13,2,0,0,0,151,1,4
"La Liga","2023-08-20","La Liga (Matchweek 2)","Real Betis","4-2-3-1",0,0.7,"",2,0,"Atlético Madrid","5-3-2",0,0.5,"",2,0,"https://fbref.com/en/matches/95634760/Real-Betis-Atletico-Madrid-August-20-2023-La-Liga","Real Betis","Home",NA,990,598,558,37,10,0,5,17,19,2,1,1,0,511,3,10
"La Liga","2023-08-20","La Liga (Matchweek 2)","Real Betis","4-2-3-1",0,0.7,"",2,0,"Atlético Madrid","5-3-2",0,0.5,"",2,0,"https://fbref.com/en/matches/95634760/Real-Betis-Atletico-Madrid-August-20-2023-La-Liga","Atlético Madrid","Away",NA,990,526,483,41,13,0,3,17,11,7,1,6,0,438,2,8
"La Liga","2023-08-21","La Liga (Matchweek 2)","Alavés","4-4-2",4,1.8,"Luis Rioja · 7&rsquor; Rubén Duarte · 44&rsquor; Kiké · 54&rsquor; Kiké · 59&rsquor;",1,0,"Sevilla","4-2-3-1",3,0.6,"Abdel Abqar (OG) · 15&rsquor; Érik Lamela · 41&rsquor; Rafa Mir · 90+7&rsquor;",2,0,"https://fbref.com/en/matches/8cd38a49/Alaves-Sevilla-August-21-2023-La-Liga","Alavés","Home",NA,990,313,260,53,13,1,5,20,22,4,1,0,0,194,0,3
"La Liga","2023-08-21","La Liga (Matchweek 2)","Alavés","4-4-2",4,1.8,"Luis Rioja · 7&rsquor; Rubén Duarte · 44&rsquor; Kiké · 54&rsquor; Kiké · 59&rsquor;",1,0,"Sevilla","4-2-3-1",3,0.6,"Abdel Abqar (OG) · 15&rsquor; Érik Lamela · 41&rsquor; Rafa Mir · 90+7&rsquor;",2,0,"https://fbref.com/en/matches/8cd38a49/Alaves-Sevilla-August-21-2023-La-Liga","Sevilla","Away",NA,990,618,557,60,12,1,9,28,29,4,2,2,0,500,1,7
"La Liga","2023-08-21","La Liga (Matchweek 2)","Granada","4-3-3",0,1.2,"Antonio Puertas · 86&rsquor;",2,1,"Rayo Vallecano","4-4-2",2,2.1,"Álvaro García · 75&rsquor; Pathé Ciss · 79&rsquor;",1,0,"https://fbref.com/en/matches/bc9648bc/Granada-Rayo-Vallecano-August-21-2023-La-Liga","Granada","Home",NA,985,414,356,57,18,1,3,22,24,5,1,3,0,308,1,9
"La Liga","2023-08-21","La Liga (Matchweek 2)","Granada","4-3-3",0,1.2,"Antonio Puertas · 86&rsquor;",2,1,"Rayo Vallecano","4-4-2",2,2.1,"Álvaro García · 75&rsquor; Pathé Ciss · 79&rsquor;",1,0,"https://fbref.com/en/matches/bc9648bc/Granada-Rayo-Vallecano-August-21-2023-La-Liga","Rayo Vallecano","Away",NA,990,443,378,58,13,2,4,18,28,6,4,1,0,334,7,4
"La Liga","2023-08-25","La Liga (Matchweek 3)","Las Palmas","4-3-3",0,0.9,"",1,0,"Real Sociedad","4-2-3-1",0,1,"",4,0,"https://fbref.com/en/matches/b2340056/Las-Palmas-Real-Sociedad-August-25-2023-La-Liga","Las Palmas","Home",NA,990,501,438,60,31,3,0,12,17,5,3,2,0,396,3,8
"La Liga","2023-08-25","La Liga (Matchweek 3)","Las Palmas","4-3-3",0,0.9,"",1,0,"Real Sociedad","4-2-3-1",0,1,"",4,0,"https://fbref.com/en/matches/b2340056/Las-Palmas-Real-Sociedad-August-25-2023-La-Liga","Real Sociedad","Away",NA,990,465,423,38,9,3,1,19,15,7,1,6,0,359,4,12
"La Liga","2023-08-25","La Liga (Matchweek 3)","Celta Vigo","5-3-2",0,1.2,"",2,0,"Real Madrid","4-1-2-1-2",1,1.4,"Jude Bellingham · 81&rsquor;",3,0,"https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga","Celta Vigo","Home",NA,990,394,345,49,17,1,4,22,17,3,1,1,0,302,0,10
"La Liga","2023-08-25","La Liga (Matchweek 3)","Celta Vigo","5-3-2",0,1.2,"",2,0,"Real Madrid","4-1-2-1-2",1,1.4,"Jude Bellingham · 81&rsquor;",3,0,"https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga","Real Madrid","Away",NA,990,672,622,47,17,1,5,17,12,5,0,4,0,589,3,5
"La Liga","2023-08-26","La Liga (Matchweek 3)","Cádiz","4-4-2",1,1.6,"Luis Hernández · 59&rsquor; Fede San Emeterio · 90+10&rsquor;",0,1,"Almería","4-2-3-1",1,0.3,"Édgar González · 50&rsquor; Kaiky · 90+5&rsquor;",6,1,"https://fbref.com/en/matches/6a02cbec/Cadiz-Almeria-August-26-2023-La-Liga","Cádiz","Home",NA,989,394,345,49,23,4,4,30,15,7,6,0,0,292,0,6
"La Liga","2023-08-26","La Liga (Matchweek 3)","Cádiz","4-4-2",1,1.6,"Luis Hernández · 59&rsquor; Fede San Emeterio · 90+10&rsquor;",0,1,"Almería","4-2-3-1",1,0.3,"Édgar González · 50&rsquor; Kaiky · 90+5&rsquor;",6,1,"https://fbref.com/en/matches/6a02cbec/Cadiz-Almeria-August-26-2023-La-Liga","Almería","Away",NA,949,368,323,44,15,1,3,13,15,3,2,0,0,274,1,6
"La Liga","2023-08-26","La Liga (Matchweek 3)","Granada","4-4-2",3,1.4,"Miguel Ángel Rubio · 12&rsquor; Bryan Zaragoza · 46&rsquor; Myrto Uzuni (P) · 70&rsquor;",2,0,"Mallorca","5-3-2",2,2.6,"Abdón Prats · 38&rsquor; Samu Costa · 87&rsquor;",7,0,"https://fbref.com/en/matches/e249c708/Granada-Mallorca-August-26-2023-La-Liga","Granada","Home",NA,990,399,334,64,26,1,3,16,24,5,1,0,0,306,1,8
"La Liga","2023-08-26","La Liga (Matchweek 3)","Granada","4-4-2",3,1.4,"Miguel Ángel Rubio · 12&rsquor; Bryan Zaragoza · 46&rsquor; Myrto Uzuni (P) · 70&rsquor;",2,0,"Mallorca","5-3-2",2,2.6,"Abdón Prats · 38&rsquor; Samu Costa · 87&rsquor;",7,0,"https://fbref.com/en/matches/e249c708/Granada-Mallorca-August-26-2023-La-Liga","Mallorca","Away",NA,990,358,313,44,10,4,5,17,19,3,0,3,0,265,1,2
"La Liga","2023-08-26","La Liga (Matchweek 3)","Sevilla","4-2-3-1",1,1.7,"Nemanja Gudelj · 45+2&rsquor;",2,0,"Girona","4-1-4-1",2,1.7,"Yangel Herrera · 16&rsquor; Aleix García · 56&rsquor;",1,0,"https://fbref.com/en/matches/3aed0598/Sevilla-Girona-August-26-2023-La-Liga","Sevilla","Home",NA,990,477,418,55,16,0,7,50,26,6,2,3,0,352,4,16
"La Liga","2023-08-26","La Liga (Matchweek 3)","Sevilla","4-2-3-1",1,1.7,"Nemanja Gudelj · 45+2&rsquor;",2,0,"Girona","4-1-4-1",2,1.7,"Yangel Herrera · 16&rsquor; Aleix García · 56&rsquor;",1,0,"https://fbref.com/en/matches/3aed0598/Sevilla-Girona-August-26-2023-La-Liga","Girona","Away",NA,990,445,394,50,15,2,3,12,13,6,4,0,0,347,1,7
"La Liga","2023-08-27","La Liga (Matchweek 3)","Villarreal","4-4-2",3,1.9,"Juan Foyth · 26&rsquor; Alexander Sørloth · 40&rsquor; Alex Baena · 50&rsquor;",3,0,"Barcelona","4-3-3",4,3.1,"Gavi · 12&rsquor; Frenkie de Jong · 15&rsquor; Ferrán Torres · 68&rsquor; Robert Lewandowski · 71&rsquor;",3,0,"https://fbref.com/en/matches/b10c7abc/Villarreal-Barcelona-August-27-2023-La-Liga","Villarreal","Home",NA,990,413,367,41,16,2,10,8,14,2,0,1,0,344,5,11
"La Liga","2023-08-27","La Liga (Matchweek 3)","Villarreal","4-4-2",3,1.9,"Juan Foyth · 26&rsquor; Alexander Sørloth · 40&rsquor; Alex Baena · 50&rsquor;",3,0,"Barcelona","4-3-3",4,3.1,"Gavi · 12&rsquor; Frenkie de Jong · 15&rsquor; Ferrán Torres · 68&rsquor; Robert Lewandowski · 71&rsquor;",3,0,"https://fbref.com/en/matches/b10c7abc/Villarreal-Barcelona-August-27-2023-La-Liga","Barcelona","Away",NA,990,628,584,41,17,2,7,18,12,6,2,1,1,557,3,7
"La Liga","2023-08-27","La Liga (Matchweek 3)","Valencia","4-4-2",1,1.7,"Hugo Duro · 80&rsquor;",3,0,"Osasuna","4-3-3",2,1.2,"Aimar Oroz (P) · 24&rsquor; Nacho Vidal · 90+5&rsquor;",4,0,"https://fbref.com/en/matches/804cc411/Valencia-Osasuna-August-27-2023-La-Liga","Valencia","Home",NA,990,573,519,51,12,0,3,32,27,6,1,2,0,459,3,9
"La Liga","2023-08-27","La Liga (Matchweek 3)","Valencia","4-4-2",1,1.7,"Hugo Duro · 80&rsquor;",3,0,"Osasuna","4-3-3",2,1.2,"Aimar Oroz (P) · 24&rsquor; Nacho Vidal · 90+5&rsquor;",4,0,"https://fbref.com/en/matches/804cc411/Valencia-Osasuna-August-27-2023-La-Liga","Osasuna","Away",NA,990,317,257,59,15,0,3,9,24,3,0,3,0,213,1,10
"La Liga","2023-08-27","La Liga (Matchweek 3)","Athletic Club","4-2-3-1",4,2.9,"Mikel Vesga (P) · 30&rsquor; Mikel Vesga (P) · 45&rsquor; Gorka Guruzeta · 45+7&rsquor; Unai Gómez · 84&rsquor;",4,0,"Real Betis","4-2-3-1",2,0.4,"Willian José · 2&rsquor; Isco · 10&rsquor;",2,0,"https://fbref.com/en/matches/d99a5d06/Athletic-Club-Real-Betis-August-27-2023-La-Liga","Athletic Club","Home",NA,990,464,403,59,10,2,2,22,35,5,3,1,0,349,2,12
"La Liga","2023-08-27","La Liga (Matchweek 3)","Athletic Club","4-2-3-1",4,2.9,"Mikel Vesga (P) · 30&rsquor; Mikel Vesga (P) · 45&rsquor; Gorka Guruzeta · 45+7&rsquor; Unai Gómez · 84&rsquor;",4,0,"Real Betis","4-2-3-1",2,0.4,"Willian José · 2&rsquor; Isco · 10&rsquor;",2,0,"https://fbref.com/en/matches/d99a5d06/Athletic-Club-Real-Betis-August-27-2023-La-Liga","Real Betis","Away",NA,990,504,439,63,24,3,5,11,18,3,2,0,0,389,2,11
"La Liga","2023-08-28","La Liga (Matchweek 3)","Getafe","4-4-2",1,2.2,"Borja Mayoral (P) · 84&rsquor;",1,0,"Alavés","4-3-3",0,0.7,"",2,0,"https://fbref.com/en/matches/74b34796/Getafe-Alaves-August-28-2023-La-Liga","Getafe","Home",NA,990,351,292,59,17,0,6,12,28,4,2,1,1,226,0,3
"La Liga","2023-08-28","La Liga (Matchweek 3)","Getafe","4-4-2",1,2.2,"Borja Mayoral (P) · 84&rsquor;",1,0,"Alavés","4-3-3",0,0.7,"",2,0,"https://fbref.com/en/matches/74b34796/Getafe-Alaves-August-28-2023-La-Liga","Alavés","Away",NA,990,401,336,62,13,0,2,24,31,5,1,1,0,270,3,6
"La Liga","2023-08-28","La Liga (Matchweek 3)","Rayo Vallecano","4-2-3-1",0,0.6,"",4,0,"Atlético Madrid","5-3-2",7,3.4,"Antoine Griezmann · 2&rsquor; Memphis · 16&rsquor; Nahuel Molina · 36&rsquor; Álvaro Morata · 73&rsquor; Ángel Correa · 79&rsquor; Álvaro Morata · 84&rsquor; Marcos Llorente · 86&rsquor;",3,0,"https://fbref.com/en/matches/bec04e9b/Rayo-Vallecano-Atletico-Madrid-August-28-2023-La-Liga","Rayo Vallecano","Home",NA,990,537,471,63,18,0,10,28,24,8,4,4,0,405,3,16
"La Liga","2023-08-28","La Liga (Matchweek 3)","Rayo Vallecano","4-2-3-1",0,0.6,"",4,0,"Atlético Madrid","5-3-2",7,3.4,"Antoine Griezmann · 2&rsquor; Memphis · 16&rsquor; Nahuel Molina · 36&rsquor; Álvaro Morata · 73&rsquor; Ángel Correa · 79&rsquor; Álvaro Morata · 84&rsquor; Marcos Llorente · 86&rsquor;",3,0,"https://fbref.com/en/matches/bec04e9b/Rayo-Vallecano-Atletico-Madrid-August-28-2023-La-Liga","Atlético Madrid","Away",NA,990,414,362,51,22,5,4,7,15,3,1,1,0,307,1,7
"La Liga","2023-09-01","La Liga (Matchweek 4)","Cádiz","4-4-2",3,2.1,"Chris Ramos · 18&rsquor; Darwin Machís (P) · 30&rsquor; Darwin Machís · 50&rsquor;",5,0,"Villarreal","4-3-3",1,0.3,"Alexander Sørloth · 10&rsquor; Alfonso Pedraza · 22&rsquor;",4,1,"https://fbref.com/en/matches/eb5232b2/Cadiz-Villarreal-September-1-2023-La-Liga","Cádiz","Home",NA,990,347,295,50,16,0,5,29,19,7,3,0,0,251,2,10
